Param Counts,Max Valid Scores,Max Test Scores
509232,81.074462890625,81.074462890625
765152,84.4148941040039,84.4148941040039
1024984,85.324462890625,85.324462890625
1287424,86.06914520263672,86.06914520263672
1552472,85.54254913330078,85.54254913330078
